summary,address,dtstart,dtend,lat,long
Mystery Book Club: Tea Time for the Traditionally Built, Spanish Springs Library,2011-12-18 01:00:00,2011-12-18 02:00:00,39.62117699,-119.7249484
Family Storytime, Spanish Springs Library,2011-12-19 10:00:00,2011-12-19 11:00:00,39.62117699,-119.7249484
Movie Matinee: The Smurfs, Spanish Springs Library,2011-12-20 04:00:00,2011-12-20 05:00:00,39.62117699,-119.7249484
Crochet Connection, Spanish Springs Library,2011-12-22 04:00:00,2011-12-22 05:00:00,39.62117699,-119.7249484
Wee Read Storytime, Spanish Springs Library,2011-12-22 10:00:00,2011-12-22 11:00:00,39.62117699,-119.7249484
Princess Storytime, Sparks Library,2011-12-24 11:00:00,2011-12-24 12:00:00,39.544131,-119.758756
Family Storytime, Spanish Springs Library,2011-12-26 10:00:00,2011-12-26 11:00:00,39.62117699,-119.7249484
Board of County Commissioners Meetings, Washoe County Commission Chambers,2011-12-27 10:00:00,2011-12-27 11:00:00,39.5394208,-119.8009622
Lifescapes, Sparks Library,2011-12-27 02:00:00,2011-12-27 03:00:00,39.544131,-119.758756
Wee Read Storytime, Spanish Springs Library,2011-12-29 10:00:00,2011-12-29 11:00:00,39.62117699,-119.7249484
Video Game Night, Sparks Library,2011-12-30 10:00:00,2011-12-30 11:00:00,39.544131,-119.758756
Four Seasons Book Club, Sparks Library,2012-01-07 01:00:00,2012-01-07 02:00:00,39.544131,-119.758756
